country_iso3,Year,oil_rents_pct_gdp,total_natural_resource_rents_pct_gdp,fuel_exports_pct_merch_exports,ores_and_metals_exports_pct_merch_exports,gdp_current_usd,gdp_growth_pct,gdp_per_oil_rent,gdp_rolling,oil_rents_rolling,gdp_pct_change
VEN,1960,,,,,7663938303.07171,,,,,
VEN,1961,,,,,8067267030.61862,3.19251943889351,,,,5.262682338990854
VEN,1962,,,92.3629279351709,0.180690478647573,8814309884.21165,8.53293376290748,,,,9.260172630429775
VEN,1963,,,92.9111895427033,3.76672119170157,9608717288.17057,3.90095116381761,,,,9.012701100762023
VEN,1964,,,91.0995448082283,5.87164970374326,8192413793.10345,11.1293452932631,,8469329259.8352,,-14.739776939953808
VEN,1965,,,92.5185567156205,4.6596531793633,8427777777.77778,4.16286666476383,,8622097154.776415,,2.8729503979946003
VEN,1966,,,93.4011576320389,4.96447157842293,8781333333.33333,1.51025011101866,,8764910415.319355,,4.195121951219449
VEN,1967,,,93.4213440140314,4.35139600234646,9250000000.0,2.83386903098939,,8852048438.477026,,5.337078651685423
VEN,1968,,,93.4616531067943,4.12701347839794,10034444444.4444,7.33723265821627,,8937193869.731792,,8.48048048048
VEN,1969,,,92.35925258221,5.03554042630553,10285111111.1111,0.706036796156368,,9355733333.333323,,2.4980622300966537
VEN,1970,4.79927244945126,5.48772130601331,91.0159714248327,5.80784544796093,11561111111.1111,7.71191438124387,2408929943.6278043,9982399999.999987,,12.40628308450189
VEN,1971,6.78719222962612,7.38794104909662,91.5238450151192,5.50373167972084,12986590909.0909,1.47929120998987,1913396655.0121243,10823451515.1515,,12.32995500415015
VEN,1972,6.69174635347221,7.19271915747182,90.5740424938746,5.0327125265331,13977727272.7273,1.28280503619366,2088801119.2286966,11768996969.69696,,7.631998039936594
VEN,1973,10.2866739191916,10.7554427076038,93.0898064449265,4.35479132791224,17035581395.3488,7.10995789495608,1656082571.4097855,13169224359.87784,,21.876618873426178
VEN,1974,33.3402278252986,33.9478841729493,95.1307868601858,2.8734857009038,26100930232.5581,2.06933320169247,782865983.0798364,16332388184.16724,12.381022555407958,53.214202831283465
VEN,1975,24.0233622156042,24.8915014056924,94.640486168019,3.3594015143054,27464651162.7907,2.89625778007183,1143247598.579321,19513096194.503162,16.225840508638548,5.224798189497104
VEN,1976,22.1509399998971,22.9931513860828,93.8272821162325,3.63174325863264,31419534883.7209,7.72773984679837,1418428964.3629956,23199684989.42916,19.298590062692746,14.399905163508153
VEN,1977,15.7438348333444,16.1985343555775,92.611057457657,4.9375377453672,36210697674.4186,6.27078351298829,2299992222.843112,27646279069.767418,21.109007758667182,15.248993368072107
VEN,1978,15.4615217950232,15.8263995123574,94.4678736341477,2.88739329714763,39316279069.7674,2.34689637191248,2542846660.9556274,32102418604.651142,22.1439773338335,8.576419662697553
VEN,1979,35.9005908031082,36.481380981255,92.7633174683121,4.92305870936454,48310930232.5581,0.764355145425426,1345686217.1854684,36544418604.65114,22.65604992939542,22.877676564533324
VEN,1980,33.5669317799093,34.4312946645093,94.0132950841181,3.88540535800573,59116511627.907,-4.42132236441782,1761153268.8039663,42874790697.6744,24.56476384225644,22.36674256391511
VEN,1981,24.1805766481041,24.750858904318,92.8470828736878,4.31039399328237,66327441860.4651,-1.28832143395154,2743004967.404926,49856372093.02324,24.97069117189784,12.197827703274111
VEN,1982,12.7185086495916,13.1086608763643,94.9870259876472,2.34829320289717,67736744186.0465,2.64479628533559,5325840163.518038,56161581395.348816,24.365625935147282,2.124765083728364
VEN,1983,16.5476906655835,17.0995109701258,95.4270089483389,2.29790929669019,67556279069.7674,-9.8555302269491,4082520058.842619,61809581395.34883,24.58285970925934,-0.26642130271781195
VEN,1984,18.3191498331889,19.0260300794035,93.1300299355276,2.36445054175413,59867743467.9335,5.22290283259414,3268041585.6128216,64120944042.423904,21.066571515275477,-11.380934100727657
VEN,1985,15.6094632774951,16.3107385078032,79.9671112777283,6.77495873277036,61965466666.6667,0.867445543503692,3969737175.7813888,64690735050.17584,17.47507781479264,3.5039289560943487
VEN,1986,7.36089191172372,8.00102414924425,84.0617359322362,5.06845679340767,60516123711.3402,6.07980818844057,8221303129.713934,63528471420.35087,14.111140867516564,-2.3389526994495258
VEN,1987,15.2245976568424,15.9166311155573,87.1351581271011,5.02195163942421,48029034482.7586,4.80107391677578,3154699753.997957,59586929479.69328,14.612358668966724,-20.634317703732286
VEN,1988,9.50512761197021,10.0130859589153,,,60226413793.1035,6.51035577626698,6336202547.902443,58120956424.3605,13.203846058244064,25.395845329190415
VEN,1989,20.0333515379632,20.9626504331607,,,43536709104.0115,-13.9197067893711,2173211457.9784336,54854749551.576096,13.546686399198924,-27.711602996031502
VEN,1990,28.0600250559547,29.2548511239111,80.0617955414958,7.37221216579258,48606952194.7752,6.4678522746499,1732249065.9879215,52183046657.1978,16.036798754890846,11.645903411419134
